Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location
MCP3009006T,230060823,Montgomery County Police,Injury Crash,10/16/2023 11:10:00 AM,,,PARKING LOT OF 20908 FREDERICK ROAD GERMANTOWN, MD 20876,,,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,N/A,N/A,,90ECD24A-20B4-4695-A9E7-603B9F32D84C,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,527FCBB9-3D87-4092-BA90-DF3B44595E5B,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,East,20,No,No,2021,VOLKSWAGEN,JETTA,39.19969077,-77.24987833,(39.19969077 -77.24987833)
MCP3012000S,16016902,Montgomery County Police,Injury Crash,04/07/2016 07:42:00 AM,,,ASPEN HILL SHOPPING CENTER PARKING LOT,,PEDESTRIAN,N/A,RAINING,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,410CCA55-C124-40A3-B6EF-1FBA1B3491A0,Yes,NO APPARENT INJURY,N/A, WET,INATTENTIVE OR LOST IN THOUGHT,DE,24D3ACC8-096D-433E-B728-7081FE416D1B,NO DAMAGE,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,15,No,No,2014,HONDA,CIVIC,39.07721738,-77.0799011,(39.07721738 -77.0799011)
MCP32950034,230049640,Montgomery County Police,Property Damage Crash,08/15/2023 06:02:00 PM,County,OLD COLUMBIA PIKE,TAGORE CT,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,0FC31D33-C19E-45A6-85D7-D5BE78508548,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,22076931-AF42-49BD-A891-BBB5952B3E10,UNKNOWN,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,South,35,No,No,2019,KIA,293,39.1038175,-76.93906866,(39.1038175 -76.93906866)
DD5635004J,230067899,Rockville Police Departme,Property Damage Crash,11/22/2023 11:29:00 PM,Maryland (State),NORBECK RD,E GUDE DR,,ROCKVILLE,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,73796209-10DA-4927-8685-E62ECF336B76,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,0718FAE5-1D87-415B-881F-9E38E44AF260,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,45,No,No,2008,BMW,SD,39.09041115,-77.12907269,(39.09041115 -77.12907269)
MCP2361002W,230064044,Montgomery County Police,Property Damage Crash,11/02/2023 06:21:00 PM,County,GOSHEN RD,EMORY GROVE RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DUSK,TRAFFIC SIGNAL,NONE DETECTED,,05B54E04-2E91-4980-BE88-1411632B5D46,Yes,NO APPARENT INJURY,N/A,TALKING OR LISTENING TO CELLULAR PHONE,MD,A65A2014-12BF-446A-AF5F-388970359AC1,DISABLING,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,35,No,No,2010,HOND,CIVIC,39.159655,-77.18864333,(39.159655 -77.18864333)
MCP2962008G,230065146,Montgomery County Police,Property Damage Crash,11/08/2023 02:05:00 PM,County,FATHER HURLEY BLVD,CRYSTAL ROCK DR,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,77F8A1B6-7D43-4F1E-ACF4-27ED26B6A406,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,C87A81B6-2F85-47A2-B1A1-48BF4B4476CC,SUPERFICIAL,ONE OCLOCK,PASSENGER CAR,STARTING FROM LANE,North,35,No,No,2017,CHRYSLER,300,39.19356016,-77.2699489,(39.19356016 -77.2699489)
EJ7872001R,230052280,Gaithersburg Police Depar,Injury Crash,08/30/2023 05:23:00 PM,Maryland (State),CLOPPER RD,FIRSTFIELD RD,,GAITHERSBURG,,HEAD ON LEFT TURN,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,485B893A-256E-45D7-8E71-264C6D7D04E1,Yes,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,C777A9E7-4852-4E69-A826-8710EAE0DAE4,DISABLING,TWELVE OCLOCK,VAN,MAKING LEFT TURN,East,35,No,No,2001,FORD,E150,39.14368666,-77.22375762,(39.14368666 -77.22375762)
MCP3136006J,230048375,Montgomery County Police,Property Damage Crash,08/08/2023 11:39:00 AM,Maryland (State),PINEY BRANCH RD,BARRON ST,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,104D0AB6-F799-467E-A594-2C787A510C6F,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,EBA30B55-D2F4-48FE-91EE-9878E9A4CC71,SUPERFICIAL,TEN OCLOCK,TRANSIT BUS,STOPPED IN TRAFFIC LANE,South,35,No,No,2012,GILLIG,BUS,38.99924972,-76.99683328,(38.99924972 -76.99683328)
MCP3372001S,230065190,Montgomery County Police,Property Damage Crash,11/08/2023 03:59:00 PM,County,BEL PRE RD,GEORGIA AVE,,N/A,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,6EB3B1EB-5335-4DF5-8B30-C32DB9A0FC39,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,A711B11D-4D9E-4DF4-AA67-6BB25CF10933,DISABLING,FOUR OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35,No,No,2022,TOYOTA,CAMRY,39.09327345,-77.07965479,(39.09327345 -77.07965479)
MCP2450004R,230061989,Montgomery County Police,Property Damage Crash,10/22/2023 04:00:00 PM,Interstate (State),EISENHOWER MEMORIAL HWY,GAME PRESERVE RD,,N/A,,SAME DIRECTION SIDESWIPE,N/A,DRY,DAYLIGHT,N/A,NONE DETECTED,,048AD698-EB85-42D7-8C9F-BBD111F0F4EE,Unknown,NO APPARENT INJURY,N/A,UNKNOWN,MD,72BA3940-48AF-4178-B836-510FEB64BDE1,SUPERFICIAL,SEVEN OCLOCK,AMBULANCE/EMERGENCY,MOVING CONSTANT SPEED,North,55,No,No,2016,FRHT,AM,39.164985,-77.23921667,(39.164985 -77.23921667)
MCP2539001S,210033537,Montgomery County Police,Property Damage Crash,08/27/2021 09:15:00 PM,County,BATTERY LA,KEYSTONE AVE,,N/A,PEDESTRIAN,OTHER,CLOUDY,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,NONE DETECTED,B42022EB-B2A2-4232-A880-B791DE81E009,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,0CA33983-6632-4093-8002-0170CF155111,NO DAMAGE,TWELVE OCLOCK,,MOVING CONSTANT SPEED,East,25,No,No,0,UNKNOWN,UNKNOWN,38.99194433,-77.09801817,(38.99194433 -77.09801817)
MCP1235004Y,230048980,Montgomery County Police,Property Damage Crash,08/11/2023 06:38:00 PM,County,POWDER MILL RD,NEW HAMPSHIRE AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,4C83B2DB-8CEF-4E58-AC3A-1E9099BD05AF,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,C78D22D9-2C33-48E6-ACAD-14268A9E75B7,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,15,No,No,2006,TOYOTA,MINI VAN,39.02273296,-76.97610772,(39.02273296 -76.97610772)
MCP32630045,230073300,Montgomery County Police,Property Damage Crash,12/23/2023 11:47:00 AM,Maryland (State),CONNECTICUT AVE,KNOWLES AVE,,N/A,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,,73B0F32A-3A9A-4D40-9FF4-87F1417C977B,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,9E5BF5CD-E10A-4FAF-B1E3-CBB1C8078B0A,SUPERFICIAL,TWELVE OCLOCK,UNKNOWN,MOVING CONSTANT SPEED,South,35,No,No,0,UNKNOWN,UNKNOWN,39.02795167,-77.07707167,(39.02795167 -77.07707167)
MCP23990070,230049953,Montgomery County Police,Property Damage Crash,08/17/2023 04:20:00 PM,County,MONTGOMERY VILLAGE AVE,STEWARTOWN RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,,9D4E14B1-0BFC-4E6B-8238-B601A53B160C,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,79F8BF47-4B27-444E-87B9-E0E4174182E2,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,No,No,2002,TOYT,COROLLA,39.17935445,-77.20107785,(39.17935445 -77.20107785)
MCP1550004Q,230055035,Montgomery County Police,Injury Crash,09/15/2023 11:46:00 AM,County,NEWPORT MILL RD,LAWRENCE AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,4042D337-3779-4C78-B22B-9EC2A6B52140,No,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,BE276678-342B-4510-B3D2-837178D2B17E,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,No,No,2000,MAZDA,4S,39.0349185,-77.07275783,(39.0349185 -77.07275783)
MCP2881005X,230058918,Montgomery County Police,Injury Crash,10/06/2023 12:15:00 PM,County,SCENERY DR,BLUNT RD,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,456ACE95-829A-4732-B524-43CE47EF9091,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,DCF81A70-1397-4B26-9FD8-1F356E13173B,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,ACCELERATING,West,40,No,No,2009,CHEV,TK,39.18437333,-77.232285,(39.18437333 -77.232285)
MCP2760003X,230046662,Montgomery County Police,Property Damage Crash,07/28/2023 03:11:00 PM,Municipality,WATKINS MILL RD,RUSSELL AVE,,GAITHERSBURG,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,C60382C7-AD01-4CB8-98E4-EABDF1A851AF,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,A6149BA3-6130-415B-9D46-60BA0DF9904E,UNKNOWN,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,30,No,No,2013,HONDA,PILOT,39.15998333,-77.21581667,(39.15998333 -77.21581667)
MCP2450004L,230048433,Montgomery County Police,Injury Crash,08/08/2023 04:58:00 PM,Maryland (State),QUINCE ORCHARD RD,CHEYENNE RD,,N/A,,STRAIGHT MOVEMENT ANGLE,N/A,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,42FF903C-80DC-4E9C-9DA2-82127AB8C9D5,Yes,POSSIBLE INJURY,N/A,UNKNOWN,MD,A1B583E9-14A0-4933-9858-DBEFA9BDE757,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,ACCELERATING,West,25,No,No,2018,TOYOTA,RAV4,39.12473,-77.24711333,(39.12473 -77.24711333)
MCP3361000X,230059128,Montgomery County Police,Property Damage Crash,10/07/2023 02:44:00 PM,Maryland (State),UNIVERSITY BLVD W,ARCOLA AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,0192B4BC-6999-4316-8C99-1A721C5AAF31,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,4465ECD4-D782-4F1B-84FF-7467528F110D,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,No,No,2023,FORD,PK,39.03563117,-77.025999,(39.03563117 -77.025999)
MCP2466004J,230054307,Montgomery County Police,Injury Crash,09/11/2023 07:07:00 PM,County,TRAVILAH RD,BRIARBUSH LA,,N/A,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,279E100B-FBB1-41A9-995F-0518D94A4503,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,CE7CFF45-129F-40B0-9A79-2B3F2238195D,DISABLING,ONE OCLOCK,VAN,MOVING CONSTANT SPEED,North,40,No,No,2017,MERZ,SPRINTER VN,39.07048888,-77.26181384,(39.07048888 -77.26181384)
MCP3170003T,230074035,Montgomery County Police,Property Damage Crash,12/28/2023 03:01:00 PM,County,LOCBURY DR,WATERS LANDING DR,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,STOP SIGN,UNKNOWN,,DC9AC90D-2A2D-48DC-8EA7-C06F8FA0AA40,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,80334BC4-C3DD-402F-B832-76F31651A050,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,North,30,No,No,2017,TOYOTA,RAV4,39.18954202,-77.26788361,(39.18954202 -77.26788361)
DM8458001X,180036645,Takoma Park Police Depart,Property Damage Crash,07/24/2018 01:20:00 PM,,,,PARKING LOT,,,SAME DIRECTION LEFT TURN,CLEAR,,DAYLIGHT,NO CONTROLS,UNKNOWN,,D364038D-62F4-4B78-8BBD-C1F6FF330F82,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,8CB03E1E-AF2D-4C77-9112-67A5DB10170B,SUPERFICIAL,EIGHT OCLOCK,VAN,PARKING,North,5,No,No,1999,FORD,VAN,38.98913333,-76.98906333,(38.98913333 -76.98906333)
EJ7781004J,230059642,Gaithersburg Police Depar,Property Damage Crash,10/11/2023 11:02:00 AM,,,,PARKING GARAGE  10121 WASHINGTONIAN BLVD,,,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,UNKNOWN,,311F0079-5CD7-4847-8302-6F4E2C87686C,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,76046BC1-6FF2-4CE1-B9E2-2DDCE517F9C6,SUPERFICIAL,ONE OCLOCK,PASSENGER CAR,STARTING FROM PARKED,West,15,No,No,2018,CHEV,SD,39.12005403,-77.20479192,(39.12005403 -77.20479192)
MCP3170003R,230072609,Montgomery County Police,Property Damage Crash,12/19/2023 04:30:00 PM,Maryland (State),CLOPPER RD,GREAT SENECA HWY,,N/A,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,E3BFE42E-0B7A-4B51-B1BE-A2613570A84D,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,2A2A71A2-68D5-417B-BD86-71BEB7281CED,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,40,No,No,2016,HONDA,VAN,39.1592315,-77.2752385,(39.1592315 -77.2752385)
MCP33480016,230055910,Montgomery County Police,Property Damage Crash,09/20/2023 12:00:00 PM,County,ROSSMOOR BLVD,PVT RD (AHEAD),,N/A,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,0933F759-631C-4DF9-A4CB-DA6DDFAA10B0,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,58511D84-11B1-425C-BB4D-71EDA5A81198,SUPERFICIAL,NINE OCLOCK,TRANSIT BUS,MAKING LEFT TURN,North,5,No,No,2013,NWFL,XDE,39.10095167,-77.073495,(39.10095167 -77.073495)
MCP2703003H,230070266,Montgomery County Police,Property Damage Crash,12/06/2023 05:30:00 PM,Maryland (State),GEORGIA AVE,TILTON DR,,N/A,,SAME DIR REAR END,CLOUDY,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,FE9327C2-4FDA-4471-B333-3E9F34C58A15,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,B263F770-FDC0-4008-9221-CC36DFF0AB57,SUPERFICIAL,TWELVE OCLOCK,AMBULANCE/EMERGENCY,SLOWING OR STOPPING,North,35,No,No,0,FORD,F150,39.02150505,-77.04492834,(39.02150505 -77.04492834)
MCP3163005S,230054653,Montgomery County Police,Property Damage Crash,09/13/2023 03:00:00 PM,Maryland (State),PLYERS MILL RD,CONNECTICUT AVE,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,,30214F1B-F785-4087-B801-72EA0AB1AFF7,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,NC,CBFC78E2-DE81-45BF-8D8F-1A5D2CB2B215,SUPERFICIAL,EIGHT OCLOCK,PASSENGER CAR,ACCELERATING,West,35,No,No,2017,HONDA,4DR,39.04263267,-77.11340933,(39.04263267 -77.11340933)
MCP1378016B,230063987,Montgomery County Police,Property Damage Crash,11/02/2023 02:20:00 PM,Maryland (State),RIDGE RD,HIGH CORNER ST,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,64BF30FB-C135-49B0-AFF6-C459F1735B2A,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,57BA562D-9DCE-4064-ABF9-08609F7AE28D,FUNCTIONAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,ACCELERATING,West,30,No,No,2020,JEEP,GRAND CHEROKEE,39.29024838,-77.20497679,(39.29024838 -77.20497679)
MCP3328002S,230064561,Montgomery County Police,Property Damage Crash,11/05/2023 03:53:00 PM,County,NEWPORT MILL RD,MURDOCK RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,ALCOHOL CONTRIBUTED,,518EFD1E-AB86-4611-854B-E28151CD2873,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,39D9428E-686C-4E92-8BE8-9CED02D6E10D,DISABLING,TWELVE OCLOCK,PASSENGER CAR,UNKNOWN,South,25,No,No,2013,HYUNDAI,GENESIS,39.03883942,-77.0706871,(39.03883942 -77.0706871)
MCP3238002N,230050389,Montgomery County Police,Property Damage Crash,08/20/2023 03:03:00 PM,US (State),COLESVILLE RD,DALE DR,,N/A,,OTHER,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,,77BBCBAE-2F63-455D-812F-876832AC859B,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,A4D26D89-9519-44B7-B7DB-DF271B71C800,NO DAMAGE,TEN OCLOCK,TRANSIT BUS,MOVING CONSTANT SPEED,South,35,No,No,2009,GILL,HY,39.00550208,-77.02276335,(39.00550208 -77.02276335)
MCP235800BP,230047748,Montgomery County Police,Injury Crash,08/04/2023 09:00:00 AM,Maryland (State),RIVER RD,OGDEN RD,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,DCA49BCF-8100-4293-805C-BDDFB792E645,No,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,ED211573-C8DB-4BBC-AB58-5F671E59A148,DISABLING,NINE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,No,No,2022,HONDA,CIVIC,38.97053952,-77.11622437,(38.97053952 -77.11622437)
DD56120041,230049400,Rockville Police Departme,Injury Crash,08/14/2023 01:45:00 PM,Municipality,CONGRESSIONAL LA,ROCKVILLE PIKE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,B1CA66B4-C1DB-41AD-96B1-80F260E96EDE,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,95465729-89FB-42DB-B3BF-47D8D5E88369,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,0,No,No,2011,TOYT,SU,39.06428,-77.12614,(39.06428 -77.12614)
DM8522000Z,230054902,Takoma Park Police Depart,Property Damage Crash,09/14/2023 05:35:00 PM,Maryland (State),NEW HAMPSHIRE AVE,HOLTON LA,,TAKOMA PARK,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,A5EA4942-351B-44B6-A9BD-1595977EC1D4,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,A45C8B6A-4635-494F-9F04-6D7041ABB0D9,SUPERFICIAL,SIX OCLOCK,POLICE VEHICLE/EMERGENCY,MOVING CONSTANT SPEED,North,35,No,No,2013,FORD,4S,38.98675905,-76.98789159,(38.98675905 -76.98789159)
